;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
7352;0,0;155,0;700,0;-1,0;-1,0;0,0;0,0
7353;0,0;155,0;730,0;-1,0;-1,0;0,0;0,0
7354;0,0;155,0;800,0;-1,0;-1,0;0,0;0,0
7355;0,0;155,0;830,0;-1,0;-1,0;0,0;0,0
7356;0,0;155,0;900,0;-1,0;-1,0;0,0;0,0
7357;0,0;155,0;930,0;-1,0;-1,0;0,0;0,0
7358;0,0;155,0;1000,0;-1,0;-1,0;0,0;0,002
7359;0,0;155,0;1030,0;-1,0;-1,0;0,0;0,0
7360;0,0;155,0;1100,0;-1,0;-1,0;0,0;0,0
7361;0,0;155,0;1130,0;-1,0;-1,0;0,0;0,0
7362;0,0;155,0;1200,0;-1,0;-1,0;0,0;0,0
7363;0,0;155,0;1230,0;-1,0;-1,0;0,0;0,0
7364;0,0;155,0;1300,0;-1,0;-1,0;0,0;0,21766666666666673
7365;0,0;155,0;1330,0;-1,0;-1,0;0,0;13,201666666666666
7366;0,0;155,0;1400,0;-1,0;-1,0;0,0;19,805947619047608
7367;0,0;155,0;1430,0;-1,0;-1,0;0,0;20,72198095238095
7368;0,0;155,0;1500,0;-1,0;-1,0;0,0;19,339590476190473
7369;0,0;155,0;1530,0;-1,0;-1,0;0,0;19,625823809523812
7370;0,0;155,0;1600,0;-1,0;-1,0;0,0;17,446699999999996
7371;0,0;155,0;1630,0;-1,0;-1,0;0,0;17,91206666666666
7372;0,0;155,0;1700,0;-1,0;-1,0;0,0;21,358699999999992
7373;0,0;155,0;1730,0;-1,0;-1,0;0,0;22,84643333333333
7374;0,0;155,0;1800,0;-1,0;-1,0;0,0;22,032076190476193
7375;0,0;155,0;1830,0;-1,0;-1,0;0,0;21,50833333333333
7376;0,0;155,0;1900,0;-1,0;-1,0;0,0;7,721700000000001
7377;0,0;155,0;1930,0;-1,0;-1,0;0,0;8,04641666666667
7378;0,0;155,0;2000,0;-1,0;-1,0;0,0;0,0
7379;0,0;155,0;2030,0;-1,0;-1,0;0,0;0,0
7380;0,0;155,0;2100,0;-1,0;-1,0;0,0;0,0
7381;0,0;155,0;2130,0;-1,0;-1,0;0,0;0,0
