Date;Vacance A;Vacances B;Vacances C;Férié;Vacance A Bool;Vacances B Bool;Vacances C Bool;Vacances;Férié Bool
23/04/2016;1;;1;;VRAI;FAUX;VRAI;VRAI;FAUX
24/04/2016;1;;1;;VRAI;FAUX;VRAI;VRAI;FAUX
25/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
26/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
27/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
28/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
29/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
30/04/2016;;;1;;FAUX;FAUX;VRAI;VRAI;FAUX
01/05/2016;;;1;1;FAUX;FAUX;VRAI;VRAI;VRAI
02/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
03/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
04/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
05/05/2016;;;;1;FAUX;FAUX;FAUX;FAUX;VRAI
06/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
07/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
08/05/2016;;;;1;FAUX;FAUX;FAUX;FAUX;VRAI
09/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
10/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
11/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
12/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
13/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
14/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
15/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
16/05/2016;;;;1;FAUX;FAUX;FAUX;FAUX;VRAI
17/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
18/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
19/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
20/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
21/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
22/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
23/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
24/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
25/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
26/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
27/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
28/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
29/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
30/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
31/05/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
01/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
02/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
03/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
04/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
05/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
06/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
07/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
08/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
09/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
10/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
11/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
12/06/2016;;;;;FAUX;FAUX;FAUX;FAUX;FAUX
