;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
321;6,0;7,0;1630,0;-1,0;-1,0;675,0;659,462
322;6,0;7,0;1700,0;-1,0;-1,0;667,0;655,958
323;6,0;7,0;1730,0;-1,0;-1,0;668,0;657,096
324;6,0;7,0;1800,0;-1,0;-1,0;680,0;633,972
325;6,0;7,0;1830,0;-1,0;-1,0;650,0;613,886
326;6,0;7,0;1900,0;-1,0;-1,0;640,0;564,002
327;6,0;7,0;1930,0;-1,0;-1,0;568,0;490,176
328;6,0;7,0;2000,0;-1,0;-1,0;482,0;428,506
329;6,0;7,0;2030,0;-1,0;-1,0;424,0;364,922
330;6,0;7,0;2100,0;-1,0;-1,0;329,0;292,79
331;6,0;7,0;2130,0;-1,0;-1,0;235,0;202,574
332;6,0;7,0;2200,0;-1,0;-1,0;20,0;17,444
333;6,0;7,0;2230,0;-1,0;-1,0;20,0;17,368
334;6,0;7,0;2300,0;-1,0;-1,0;0,0;0,0
335;6,0;7,0;2330,0;-1,0;-1,0;0,0;0,0
336;0,0;8,0;0,0;-1,0;-1,0;0,0;0,0
337;0,0;8,0;30,0;-1,0;-1,0;0,0;0,0
338;0,0;8,0;100,0;-1,0;-1,0;0,0;0,0
339;0,0;8,0;130,0;-1,0;-1,0;0,0;0,0
340;0,0;8,0;200,0;-1,0;-1,0;0,0;0,0
341;0,0;8,0;230,0;-1,0;-1,0;0,0;0,0
342;0,0;8,0;300,0;-1,0;-1,0;0,0;0,0
343;0,0;8,0;330,0;-1,0;-1,0;0,0;0,0
344;0,0;8,0;400,0;-1,0;-1,0;0,0;0,0
345;0,0;8,0;430,0;-1,0;-1,0;0,0;0,0
346;0,0;8,0;500,0;-1,0;-1,0;0,0;0,0
347;0,0;8,0;530,0;-1,0;-1,0;0,0;0,0
348;0,0;8,0;600,0;-1,0;-1,0;0,0;0,0
349;0,0;8,0;630,0;-1,0;-1,0;0,0;0,0
350;0,0;8,0;700,0;-1,0;-1,0;0,0;0,0
351;0,0;8,0;730,0;-1,0;-1,0;0,0;0,0
352;0,0;8,0;800,0;-1,0;-1,0;0,0;0,0
353;0,0;8,0;830,0;-1,0;-1,0;0,0;0,0
354;0,0;8,0;900,0;-1,0;-1,0;0,0;0,0
355;0,0;8,0;930,0;-1,0;-1,0;0,0;0,0
356;0,0;8,0;1000,0;-1,0;-1,0;0,0;0,0
357;0,0;8,0;1030,0;-1,0;-1,0;0,0;0,0
358;0,0;8,0;1100,0;-1,0;-1,0;0,0;0,0
359;0,0;8,0;1130,0;-1,0;-1,0;0,0;0,0
360;0,0;8,0;1200,0;-1,0;-1,0;0,0;0,0
361;0,0;8,0;1230,0;-1,0;-1,0;0,0;0,0
362;0,0;8,0;1300,0;-1,0;-1,0;0,0;0,0
363;0,0;8,0;1330,0;-1,0;-1,0;0,0;0,0
364;0,0;8,0;1400,0;-1,0;-1,0;0,0;0,0
365;0,0;8,0;1430,0;-1,0;-1,0;0,0;0,0
366;0,0;8,0;1500,0;-1,0;-1,0;0,0;0,0
367;0,0;8,0;1530,0;-1,0;-1,0;0,0;0,0
368;0,0;8,0;1600,0;-1,0;-1,0;0,0;0,0
369;0,0;8,0;1630,0;-1,0;-1,0;0,0;0,0
370;0,0;8,0;1700,0;-1,0;-1,0;0,0;0,0
371;0,0;8,0;1730,0;-1,0;-1,0;0,0;0,0
372;0,0;8,0;1800,0;-1,0;-1,0;0,0;0,0
373;0,0;8,0;1830,0;-1,0;-1,0;0,0;0,0
374;0,0;8,0;1900,0;-1,0;-1,0;0,0;0,0
375;0,0;8,0;1930,0;-1,0;-1,0;0,0;0,0
376;0,0;8,0;2000,0;-1,0;-1,0;0,0;0,0
377;0,0;8,0;2030,0;-1,0;-1,0;0,0;0,0
378;0,0;8,0;2100,0;-1,0;-1,0;0,0;0,0
379;0,0;8,0;2130,0;-1,0;-1,0;0,0;0,0
380;0,0;8,0;2200,0;-1,0;-1,0;0,0;0,0
381;0,0;8,0;2230,0;-1,0;-1,0;0,0;0,0
382;0,0;8,0;2300,0;-1,0;-1,0;0,0;0,0
383;0,0;8,0;2330,0;-1,0;-1,0;0,0;0,0
384;1,0;9,0;0,0;-1,0;-1,0;0,0;0,0
385;1,0;9,0;30,0;-1,0;-1,0;0,0;0,0
386;1,0;9,0;100,0;-1,0;-1,0;0,0;0,0
387;1,0;9,0;130,0;-1,0;-1,0;0,0;0,0
388;1,0;9,0;200,0;-1,0;-1,0;0,0;0,0
389;1,0;9,0;230,0;-1,0;-1,0;0,0;0,0
390;1,0;9,0;300,0;-1,0;-1,0;0,0;0,0
391;1,0;9,0;330,0;-1,0;-1,0;0,0;0,0
392;1,0;9,0;400,0;-1,0;-1,0;0,0;0,0
393;1,0;9,0;430,0;-1,0;-1,0;0,0;0,0
394;1,0;9,0;500,0;-1,0;-1,0;0,0;0,0
395;1,0;9,0;530,0;-1,0;-1,0;0,0;0,0
396;1,0;9,0;600,0;-1,0;-1,0;0,0;0,0
397;1,0;9,0;630,0;-1,0;-1,0;0,0;0,0
398;1,0;9,0;700,0;-1,0;-1,0;0,0;0,0
399;1,0;9,0;730,0;-1,0;-1,0;0,0;0,0
400;1,0;9,0;800,0;-1,0;-1,0;0,0;0,0
401;1,0;9,0;830,0;-1,0;-1,0;0,0;0,0
402;1,0;9,0;900,0;-1,0;-1,0;0,0;0,0
403;1,0;9,0;930,0;-1,0;-1,0;0,0;0,0
404;1,0;9,0;1000,0;-1,0;-1,0;13,0;11,5
405;1,0;9,0;1030,0;-1,0;-1,0;192,0;130,466
406;1,0;9,0;1100,0;-1,0;-1,0;286,0;202,754
407;1,0;9,0;1130,0;-1,0;-1,0;361,0;263,972
408;1,0;9,0;1200,0;-1,0;-1,0;396,0;303,32
409;1,0;9,0;1230,0;-1,0;-1,0;440,0;328,514
410;1,0;9,0;1300,0;-1,0;-1,0;460,0;359,1
411;1,0;9,0;1330,0;-1,0;-1,0;492,0;403,328
412;1,0;9,0;1400,0;-1,0;-1,0;506,0;439,006
413;1,0;9,0;1430,0;-1,0;-1,0;564,0;498,858
414;1,0;9,0;1500,0;-1,0;-1,0;598,0;531,596
415;1,0;9,0;1530,0;-1,0;-1,0;614,0;560,608
416;1,0;9,0;1600,0;-1,0;-1,0;621,0;600,864
417;1,0;9,0;1630,0;-1,0;-1,0;647,0;644,562
418;1,0;9,0;1700,0;-1,0;-1,0;681,0;672,778
419;1,0;9,0;1730,0;-1,0;-1,0;663,0;674,156
420;1,0;9,0;1800,0;-1,0;-1,0;660,0;668,42
421;1,0;9,0;1830,0;-1,0;-1,0;684,0;666,022
422;1,0;9,0;1900,0;-1,0;-1,0;663,0;651,7
423;1,0;9,0;1930,0;-1,0;-1,0;621,0;597,726
424;1,0;9,0;2000,0;-1,0;-1,0;599,0;561,992
425;1,0;9,0;2030,0;-1,0;-1,0;558,0;525,942
426;1,0;9,0;2100,0;-1,0;-1,0;477,0;425,69
427;1,0;9,0;2130,0;-1,0;-1,0;348,0;273,724
